"key","en","es","fr","status"
"wellness.intro","[T] wellness.intro","[T] wellness.intro","[T] wellness.intro","tagged"
"resources.intro","Here you’ll find practical tools, guides, and supports — everything from benefits applications to emergency contacts. This hub is designed to save you time and help you advocate for yourself effectively.","Here you’ll find practical tools, guides, and supports — everything from benefits applications to emergency contacts. This hub is designed to save you time and help you advocate for yourself effectively.","Here you’ll find practical tools, guides, and supports — everything from benefits applications to emergency contacts. This hub is designed to save you time and help you advocate for yourself effectively.","untranslated"
"resources.filters.all","All","All","All","untranslated"
"resources.filters.canada","Canada","Canada","Canada","untranslated"
"resources.filters.work_financial","Work & Financial","Work & Financial","Work & Financial","untranslated"
"resources.filters.tools_downloads","Tools & Downloads","Tools & Downloads","Tools & Downloads","untranslated"
"resources.filters.emergency_crisis","Emergency & Crisis","Emergency & Crisis","Emergency & Crisis","untranslated"
"resources.tools.deadlines","Deadline Calculator + Reminders","Calculadora de plazos + recordatorios","Calculateur d'échéances + rappels","ok"
"resources.tools.evidence","Evidence Checklist Generator","Generador de lista de evidencias","Générateur de liste de preuves","ok"
"resources.tools.voice_notes","Voice-to-Case Notes Tool","Notas de voz a registro de caso","Notes vocales vers notes de dossier","ok"
"resources.tools.templates","Template Gallery","Galería de plantillas","Galerie de modèles","ok"
"resources.tools.rtw","Return-to-Work Planner","Plan de regreso al trabajo","Plan de retour au travail","ok"
"resources.tools.meds","Medication & Treatment Tracker","Registro de medicamentos y tratamientos","Suivi des médicaments et traitements","ok"
"resources.tools.chronic","Chronic Condition Tracker","Seguimiento de condiciones crónicas","Suivi des affections chroniques","ok"
"resources.tools.body_mech","AI Body Mechanics Advisor","Asesor de biomecánica (IA)","Conseiller en biomécanique (IA)","ok"
"resources.tools.policy_sim","Interactive Policy Simulator","Interactive Policy Simulator","Interactive Policy Simulator","untranslated"
"resources.tools.accommodation","Accommodation Request Builder","Accommodation Request Builder","Accommodation Request Builder","untranslated"
"resources.search","[T] resources.search","[T] resources.search","[T] resources.search","tagged"
"home.title","Welcome to Empowr","Bienvenido a Empowr","Bienvenue sur Empowr","ok"
"home.subtitle","Support. Advocacy. Empowerment.","Apoyo. Defensa. Empoderamiento.","Soutien. Défense. Autonomisation.","ok"
"home.welcome","Welcome! This is your hub for community, education, advocacy tools, and podcasts — all in one place!","¡Bienvenido! Tu centro para comunidad, educación, herramientas de defensa y podcasts — ¡todo en un solo lugar!","Bienvenue ! Votre hub pour communauté, éducation, outils de défense et balados — tout au même endroit !","ok"
"header.favorites","Favs","Favs","Favs","untranslated"
"header.items","Items","Elementos","Éléments","ok"
"header.openProfile","Open profile","Abrir perfil","Ouvrir le profil","ok"
"header.signIn","Sign in","Iniciar sesión","Se connecter","ok"
"header.signOut","Sign out","Cerrar sesión","Se déconnecter","ok"
"header.refresh","Refresh all","Actualizar todo","Tout actualiser","ok"
"advocacy.tools.self_coach","Self-Advocacy Coach (micro-lessons)","Self-Advocacy Coach (micro-lessons)","Self-Advocacy Coach (micro-lessons)","untranslated"
"advocacy.tools.ai_translator","AI Advocate Translator","AI Advocate Translator","AI Advocate Translator","untranslated"
"advocacy.tools.collective","Collective Legal Action Hub","Collective Legal Action Hub","Collective Legal Action Hub","untranslated"
"advocacy.tools.policy_simple","Policy Made Simple","Policy Made Simple","Policy Made Simple","untranslated"
"advocacy.tools.ai_gov","AI Government Navigator","AI Government Navigator","AI Government Navigator","untranslated"
"advocacy.tools.ai_case","AI Case Interpreter","AI Case Interpreter","AI Case Interpreter","untranslated"
"advocacy.tools.ally_hub","Ally Hub","Ally Hub","Ally Hub","untranslated"
"advocacy.tools.finder","Lawyer & Advocate Finder","Lawyer & Advocate Finder","Lawyer & Advocate Finder","untranslated"
"advocacy.tools.ratings","Disability Justice Ratings","Disability Justice Ratings","Disability Justice Ratings","untranslated"
"advocacy.ally.intro","Cross-movement solidarity resources and quick coaching prompts for allies supporting disabled / injured workers.","Recursos de solidaridad inter‑movimientos e indicaciones rápidas para aliados que apoyan a personas con discapacidad / trabajadoras lesionadas.","Ressources de solidarité inter‑mouvements et invites rapides pour alliés soutenant des personnes handicapées / travailleuses blessées.","ok"
"advocacy.ally.linksHeader","Movement Links","Enlaces movimientos","Liens mouvements","ok"
"advocacy.ally.coachHeader","Coaching Prompt","Indicador de apoyo","Invite de coaching","ok"
"advocacy.ally.coachHelp","Describe what you want to help with (e.g., support letter, preparing for meeting, reducing overwhelm).","Describe en qué quieres ayudar (ej. carta de apoyo, preparar reunión, reducir saturación).","Décrivez ce que vous voulez aider à faire (ex. lettre de soutien, préparation réunion, réduire la surcharge).","ok"
"advocacy.ally.generate","Generate Steps","Generar pasos","Générer étapes","ok"
"advocacy.ally.generating","Generating...","Generando...","Génération...","ok"
"advocacy.policy.aiHeader","AI Simplifier","Simplificador IA","Simplificateur IA","ok"
"advocacy.policy.aiHelp","Paste policy/decision text below. Processing is local unless backend available.","Pegue texto de política/decisión abajo. Procesamiento local salvo backend configurado.","Collez le texte de politique/décision ci‑dessous. Traitement local sauf serveur configuré.","ok"
"advocacy.policy.simplify","Simplify","Simplificar","Simplifier","ok"
"advocacy.policy.simplifying","Simplifying...","Simplificando...","Simplification...","ok"
"advocacy.policy.summary","Summary","Resumen","Résumé","ok"
"advocacy.policy.keyPoints","Key Points","Puntos clave","Points clés","ok"
"advocacy.coach.practiceHeader","Practice Prompt","Indicador de práctica","Invite d'entraînement","ok"
"advocacy.coach.practiceHelp","Describe a need or goal. The coach returns structured steps.","Describe una necesidad u objetivo. El coach devuelve pasos estructurados.","Décrivez un besoin ou objectif. Le coach renvoie des étapes structurées.","ok"
"advocacy.coach.generate","Generate Practice","Generar práctica","Générer entraînement","ok"
"advocacy.coach.generating","Generating...","Generando...","Génération...","ok"
"advocacy.coach.subtitle","Micro-lessons for confidence, public speaking, and assertiveness.","Micro-lecciones para confianza, comunicación clara y asertividad.","Micro-leçons pour confiance, expression claire et assertivité.","ok"
"advocacy.coach.defaultPrompt","Request a 10-minute break each hour due to pain","Pedir una pausa de 10 minutos cada hora debido al dolor","Demander une pause de 10 minutes chaque heure à cause de la douleur","ok"
"advocacy.coach.generateError","Could not generate practice steps.","No se pudieron generar los pasos.","Impossible de générer les étapes.","ok"
"advocacy.coach.practiceInputLabel","Practice prompt input","Entrada indicador práctica","Saisie invite entraînement","ok"
"advocacy.coach.practiceGenerateLabel","Generate practice coaching","Generar coaching práctica","Générer coaching entraînement","ok"
"advocacy.coach.practiceOutputLabel","Practice coaching output","Resultado coaching práctica","Résultat coaching entraînement","ok"
"advocacy.coach.lesson.conf-1.title","Confidence Basics","Bases de confianza","Bases de confiance","ok"
"advocacy.coach.lesson.conf-1.b1","Breathe low and slow (4-4-4-4)","Respirar lento y profundo (4-4-4-4)","Respirer lentement et bas (4-4-4-4)","ok"
"advocacy.coach.lesson.conf-1.b2","Stand/sit grounded; soften shoulders","Postura estable; relajar hombros","Posture ancrée; relâcher les épaules","ok"
"advocacy.coach.lesson.conf-1.b3","Prepare one sentence purpose statement","Preparar una frase de propósito","Préparer une phrase d'objectif","ok"
"advocacy.coach.lesson.speak-1.title","Speak Clearly","Hablar con claridad","Parler clairement","ok"
"advocacy.coach.lesson.speak-1.b1","Short sentences; one point at a time","Frases cortas; un punto a la vez","Phrases courtes; une idée à la fois","ok"
"advocacy.coach.lesson.speak-1.b2","Ask to repeat/clarify questions","Pedir repetir/aclarar preguntas","Demander répétition/clarification","ok"
"advocacy.coach.lesson.speak-1.b3","Pause before answering","Pausa antes de responder","Marquer une pause avant répondre","ok"
"advocacy.coach.lesson.assert-1.title","Assertiveness in Medical/Work","Asertividad médica/laboral","Assertivité santé/travail","ok"
"advocacy.coach.lesson.assert-1.b1","Name your need: 'I need...'","Nombrar la necesidad: 'Necesito…'","Nommer le besoin : 'J'ai besoin de…'","ok"
"advocacy.coach.lesson.assert-1.b2","Explain impact briefly","Explicar impacto brevemente","Expliquer brièvement l'impact","ok"
"advocacy.coach.lesson.assert-1.b3","Offer options, ask for collaboration","Ofrecer opciones, invitar a colaborar","Proposer options, inviter à collaborer","ok"
"advocacy.coach.lesson.docs-1.title","Documentation","Documentación","Documentation","untranslated"
"advocacy.coach.lesson.docs-1.b1","Summarize call/meeting in email","Resumir llamada/reunión por correo","Résumer appel/réunion par courriel","ok"
"advocacy.coach.lesson.docs-1.b2","Attach key evidence only","Adjuntar solo evidencia clave","Joindre seulement preuves clés","ok"
"advocacy.coach.lesson.docs-1.b3","Track dates and deadlines","Registrar fechas y plazos","Suivre dates et échéances","ok"
"advocacy.disclaimer.notLegal","Educational only — not legal advice. Verify with official sources.","Solo educativo — no es asesoría legal. Verifique fuentes oficiales.","Éducatif uniquement — pas un avis juridique. Vérifiez sources officielles.","ok"
"advocacy.disclaimer.privacy","Inputs processed locally unless a configured backend is available.","Entradas procesadas localmente salvo backend configurado.","Entrées traitées localement sauf backend configuré.","ok"
"network.online","Online","En línea","En ligne","ok"
"network.offline","Offline (local only)","Sin conexión (solo local)","Hors ligne (local seulement)","ok"
"network.checking","Checking...","Comprobando...","Vérification...","ok"
"settings.title","Settings","Configuración","Paramètres","ok"
"settings.accessibility.title","Accessibility","Accesibilidad","Accessibilité","ok"
"settings.accessibility.subtitle","Make the app work better for you","Haga que la aplicación funcione mejor para usted","Faites en sorte que l'application fonctionne mieux pour vous","ok"
"settings.accessibility.highContrast","High Contrast","Alto contraste","Contraste élevé","ok"
"settings.accessibility.highContrastDesc","Increases contrast for better readability","Aumenta el contraste para mejor legibilidad","Augmente le contraste pour une meilleure lisibilité","ok"
"settings.accessibility.textSize","Text Size","Tamaño del texto","Taille du texte","ok"
"settings.accessibility.textSizeDesc","Adjust text size throughout the app","Ajustar el tamaño del texto en toda la aplicación","Ajustez la taille du texte dans toute l'application","ok"
"settings.accessibility.screenReader","Screen Reader Optimized","Optimizado para lector de pantalla","Optimisé pour lecteur d'écran","ok"
"settings.accessibility.screenReaderDesc","Optimizes content for screen readers","Optimiza el contenido para lectores de pantalla","Optimise le contenu pour les lecteurs d'écran","ok"
"settings.accessibility.reduceMotion","Reduce Motion","Reducir movimiento","Réduire les mouvements","ok"
"settings.accessibility.reduceMotionDesc","Minimizes animations and transitions","Minimiza animaciones y transiciones","Minimise les animations et transitions","ok"
"settings.accessibility.focusIndicator","Enhanced Focus Indicators","Indicadores de enfoque mejorados","Indicateurs de focus améliorés","ok"
"settings.accessibility.focusIndicatorDesc","Makes keyboard navigation more visible","Hace la navegación por teclado más visible","Rend la navigation au clavier plus visible","ok"
"settings.accessibility.tapTarget","Minimum Tap Target Size","Tamaño mínimo de área táctil","Taille minimale de zone tactile","ok"
"settings.accessibility.tapTargetDesc","Ensures buttons are easy to tap","Asegura que los botones sean fáciles de tocar","Assure que les boutons sont faciles à toucher","ok"
"settings.accessibility.dyslexiaFriendly","Dyslexia-Friendly Font","Fuente amigable para dislexia","Police adaptée à la dyslexie","ok"
"settings.accessibility.dyslexiaFriendlyDesc","Improves letter spacing and readability","Mejora el espaciado de letras y legibilidad","Améliore l'espacement des lettres et la lisibilité","ok"
"settings.accessibility.plainLanguage","Plain Language","Lenguaje sencillo","Langage simple","ok"
"settings.accessibility.plainLanguageDesc","Uses simpler, clearer text","Usa texto más simple y claro","Utilise un texte plus simple et plus clair","ok"
"settings.accessibility.captions","Captions Preferred","Subtítulos preferidos","Sous-titres préférés","ok"
"settings.accessibility.captionsDesc","Shows captions when available","Muestra subtítulos cuando estén disponibles","Affiche les sous-titres quand disponibles","ok"
"settings.accessibility.voiceMode","Voice Mode","Modo de voz","Mode vocal","ok"
"settings.accessibility.voiceModeDesc","Enables voice navigation (beta)","Habilita navegación por voz (beta)","Active la navigation vocale (bêta)","ok"
"settings.accessibility.dyslexia","[T] settings.accessibility.dyslexia","[T] settings.accessibility.dyslexia","[T] settings.accessibility.dyslexia","tagged"
"settings.accessibility.dyslexiaDesc","[T] settings.accessibility.dyslexiaDesc","[T] settings.accessibility.dyslexiaDesc","[T] settings.accessibility.dyslexiaDesc","tagged"
"settings.language.title","Language","Idioma","Langue","ok"
"settings.language.subtitle","Choose your preferred language","Elija su idioma preferido","Choisissez votre langue préférée","ok"
"settings.language.english","English","Inglés","Anglais","ok"
"settings.language.french","Français","Francés","Français","untranslated"
"settings.language.spanish","Español","Español","Espagnol","untranslated"
"settings.notifications.title","Notifications","Notificaciones","Notifications","untranslated"
"settings.notifications.subtitle","Choose what alerts you receive","Elija qué alertas recibir","Choisissez les alertes que vous recevez","ok"
"settings.notifications.enabled","Enable Notifications","Habilitar notificaciones","Activer les notifications","ok"
"settings.notifications.enabledDesc","Receive app notifications","Recibir notificaciones de la aplicación","Recevoir les notifications de l'application","ok"
"settings.notifications.sound","Notification Sound","Sonido de notificación","Son de notification","ok"
"settings.notifications.soundDesc","Play sound with notifications","Reproducir sonido con notificaciones","Jouer un son avec les notifications","ok"
"settings.notifications.vibration","Vibration","Vibración","Vibration","untranslated"
"settings.notifications.vibrationDesc","Vibrate for notifications","Vibrar para notificaciones","Vibrer pour les notifications","ok"
"settings.notifications.emergency","Emergency Alerts","Alertas de emergencia","Alertes d'urgence","ok"
"settings.notifications.emergencyDesc","Critical safety notifications","Notificaciones de seguridad críticas","Notifications de sécurité critiques","ok"
"settings.notifications.wellness","Wellness Reminders","Recordatorios de bienestar","Rappels de bien-être","ok"
"settings.notifications.wellnessDesc","Daily wellness check-ins","Chequeos diarios de bienestar","Vérifications quotidiennes de bien-être","ok"
"settings.notifications.events","Event Reminders","Recordatorios de eventos","Rappels d'événements","ok"
"settings.notifications.eventsDesc","Upcoming event notifications","Notificaciones de eventos próximos","Notifications d'événements à venir","ok"
"settings.bookmarks.title","Bookmarks","Marcadores","Signets","ok"
"settings.bookmarks.subtitle","Save quick links to app features","Guarde accesos rápidos a funciones","Enregistrez des liens rapides vers les fonctionnalités","ok"
"settings.bookmarks.description","Add bookmarks to quickly open frequently used tools and screens.","Agregue marcadores para abrir rápidamente herramientas y pantallas usadas con frecuencia.","Ajoutez des signets pour ouvrir rapidement les outils et écrans fréquemment utilisés.","ok"
"settings.bookmarks.search","Search or filter available routes","Buscar o filtrar rutas disponibles","Rechercher ou filtrer les routes","ok"
"settings.bookmarks.searchPlaceholder","Type to filter suggestions","Escriba para filtrar sugerencias","Tapez pour filtrer les suggestions","ok"
"settings.bookmarks.suggestions","Suggestions","Sugerencias","Suggestions","untranslated"
"settings.bookmarks.addSuggestion","Add bookmark for","Agregar marcador para","Ajouter un signet pour","ok"
"settings.bookmarks.route","Route Path","Ruta","Chemin de route","ok"
"settings.bookmarks.routePlaceholder","e.g. /(tabs)/resources/index","p.ej. /(tabs)/resources/index","ex. /(tabs)/resources/index","ok"
"settings.bookmarks.label","Label","Etiqueta","Libellé","ok"
"settings.bookmarks.labelPlaceholder","My Resources","Mis recursos","Mes ressources","ok"
"settings.bookmarks.add","Add Bookmark","Agregar marcador","Ajouter un signet","ok"
"settings.bookmarks.remove","Remove bookmark","Eliminar marcador","Supprimer le signet","ok"
"settings.bookmarks.empty","No bookmarks yet.","Sin marcadores aún.","Aucun signet pour l'instant.","ok"
"settings.bookmarks.clearAll","Clear All","Borrar todo","Tout effacer","ok"
"settings.bookmarks.errEmptyRoute","Route required","Ruta requerida","Chemin requis","ok"
"settings.bookmarks.errInvalid","Route not bookmarkable","Ruta no disponible","Chemin non signetable","ok"
"settings.bookmarks.errDuplicate","Already bookmarked","Ya marcado","Déjà enregistré","ok"
"settings.emergency.title","Emergency Wallet Card","Tarjeta de emergencia","Carte d'urgence portefeuille","ok"
"settings.emergency.subtitle","Quick access to important information","Acceso rápido a información importante","Accès rapide aux informations importantes","ok"
"settings.emergency.description","Create a digital emergency card with your key information for quick access when needed","Cree una tarjeta de emergencia digital con su información clave para acceso rápido cuando sea necesario","Créez une carte d'urgence numérique avec vos informations clés pour un accès rapide en cas de besoin","ok"
"settings.emergency.openLabel","[T] settings.emergency.openLabel","[T] settings.emergency.openLabel","[T] settings.emergency.openLabel","tagged"
"settings.emergency.manage","[T] settings.emergency.manage","[T] settings.emergency.manage","[T] settings.emergency.manage","tagged"
"settings.privacy.title","Privacy & Security","Privacidad y seguridad","Confidentialité et sécurité","ok"
"settings.privacy.subtitle","Control your data and security","Controle sus datos y seguridad","Contrôlez vos données et votre sécurité","ok"
"settings.privacy.passcode","Require Passcode","Requerir código de acceso","Exiger un code d'accès","ok"
"settings.privacy.passcodeDesc","Lock app with passcode","Bloquear aplicación con código de acceso","Verrouiller l'application avec un code d'accès","ok"
"settings.privacy.autoLock","Auto-Lock Timeout","Tiempo de bloqueo automático","Délai de verrouillage automatique","ok"
"settings.privacy.autoLockDesc","Minutes before app locks","Minutos antes de que se bloquee la aplicación","Minutes avant le verrouillage de l'application","ok"
"settings.privacy.analytics","Opt Out of Analytics","Optar por no usar analíticas","Refuser les analyses","ok"
"settings.privacy.analyticsDesc","Don't share usage data","No compartir datos de uso","Ne pas partager les données d'utilisation","ok"
"settings.account.title","Account Management","Gestión de cuenta","Gestion du compte","ok"
"settings.account.subtitle","Manage your profile and preferences","Gestione su perfil y preferencias","Gérez votre profil et vos préférences","ok"
"settings.account.displayName","Display Name","Nombre para mostrar","Nom d'affichage","ok"
"settings.account.displayNamePlaceholder","Enter display name","Ingrese nombre para mostrar","Saisir le nom d'affichage","ok"
"settings.account.changePhoto","Change Profile Picture","Cambiar foto de perfil","Changer la photo de profil","ok"
"settings.account.updateName","Update Name","Actualizar nombre","Mettre à jour le nom","ok"
"settings.account.resetPassword","Send Password Reset Email","Enviar correo de restablecimiento","Envoyer un e-mail de réinitialisation","ok"
"settings.account.resetPasswordSent","Email Sent","Correo enviado","E-mail envoyé","ok"
"settings.account.resetPasswordSentDesc","Check your inbox for reset instructions.","Revise su bandeja de entrada para instrucciones.","Vérifiez votre boîte de réception pour les instructions.","ok"
"settings.account.resetPasswordFailed","Reset Failed","Fallo al restablecer","Échec de la réinitialisation","ok"
"settings.account.password","Change Password","Cambiar contraseña","Changer le mot de passe","ok"
"settings.account.preferences","Preferences","Preferencias","Préférences","ok"
"settings.account.delete","Delete Account","Eliminar cuenta","Supprimer le compte","ok"
"settings.account.deleteConfirmTitle","Delete Account","Eliminar cuenta","Supprimer le compte","ok"
"settings.account.deleteConfirmBody","This will permanently delete your account. This cannot be undone.","Esto eliminará permanentemente su cuenta. No se puede deshacer.","Cette action supprimera définitivement votre compte. Cette action est irréversible.","ok"
"settings.account.deleteConfirmPasswordTitle","Confirm Deletion","Confirmar eliminación","Confirmer la suppression","ok"
"settings.account.deleteConfirmPasswordBody","Enter your password to permanently delete your account.","Ingrese su contraseña para eliminar permanentemente su cuenta.","Entrez votre mot de passe pour supprimer définitivement votre compte.","ok"
"settings.account.deleted","Account deleted","Cuenta eliminada","Compte supprimé","ok"
"settings.account.deleteFailed","Delete failed","Error al eliminar","Suppression échouée","ok"
"settings.account.passwordPlaceholder","Password","Contraseña","Mot de passe","ok"
"settings.account.reauthFailed","Re-authentication failed","Fallo en la re-autenticación","Échec de la ré-authentification","ok"
"settings.account.confirmDelete","Confirm Delete","Confirmar","Confirmer","ok"
"settings.account.updatedName","[T] settings.account.updatedName","[T] settings.account.updatedName","[T] settings.account.updatedName","tagged"
"settings.account.photoUpdated","[T] settings.account.photoUpdated","[T] settings.account.photoUpdated","[T] settings.account.photoUpdated","tagged"
"settings.account.guestNotice","[T] settings.account.guestNotice","[T] settings.account.guestNotice","[T] settings.account.guestNotice","tagged"
"settings.account.createAccount","[T] settings.account.createAccount","[T] settings.account.createAccount","[T] settings.account.createAccount","tagged"
"settings.account.photo","[T] settings.account.photo","[T] settings.account.photo","[T] settings.account.photo","tagged"
"settings.account.deleteNoPassword","[T] settings.account.deleteNoPassword","[T] settings.account.deleteNoPassword","[T] settings.account.deleteNoPassword","tagged"
"settings.emergencyWallet.title","[T] settings.emergencyWallet.title","[T] settings.emergencyWallet.title","[T] settings.emergencyWallet.title","tagged"
"settings.emergencyWallet.subtitle","[T] settings.emergencyWallet.subtitle","[T] settings.emergencyWallet.subtitle","[T] settings.emergencyWallet.subtitle","tagged"
"settings.emergencyWallet.hide","[T] settings.emergencyWallet.hide","[T] settings.emergencyWallet.hide","[T] settings.emergencyWallet.hide","tagged"
"settings.emergencyWallet.show","[T] settings.emergencyWallet.show","[T] settings.emergencyWallet.show","[T] settings.emergencyWallet.show","tagged"
"admin.onlyTitle","Admin Only","Solo administradores","Administrateur uniquement","ok"
"admin.onlyDescription","You must be an admin to access this area.","Debes ser administrador para acceder a esta área.","Vous devez être administrateur pour accéder à cette zone.","ok"
"bookmark.add","Add bookmark","Agregar marcador","Ajouter un signet","ok"
"bookmark.remove","Remove bookmark","Eliminar marcador","Supprimer le signet","ok"
"bookmark.save","Save","Guardar","Enregistrer","ok"
"bookmark.saved","Saved","Guardado","Enregistré","ok"
"a11y.shareCampaign","Share campaign {{title}}","Compartir campaña {{title}}","Partager la campagne {{title}}","ok"
"a11y.joinCampaign","Join {{title}}","Unirse a {{title}}","Rejoindre {{title}}","ok"
"a11y.leaveCampaign","Leave {{title}}","Salir de {{title}}","Quitter {{title}}","ok"
"a11y.supportCampaign","Support this campaign","Apoyar esta campaña","Soutenir cette campagne","ok"
"a11y.openCampaignRoom","Open campaign room","Abrir sala de campaña","Ouvrir la salle de campagne","ok"
"a11y.saveCampaign","Save to favorites","Guardar en favoritos","Ajouter aux favoris","ok"
"a11y.removeCampaign","Remove from favorites","Quitar de favoritos","Retirer des favoris","ok"
"a11y.toggleCreateEventFormOpen","Show create event form","Mostrar formulario de evento","Afficher le formulaire d'événement","ok"
"a11y.toggleCreateEventFormClose","Hide create event form","Ocultar formulario de evento","Masquer le formulaire d'événement","ok"
"a11y.scheduleEventReminder","Schedule event reminder","Programar recordatorio del evento","Programmer le rappel de l'événement","ok"
"a11y.removeEventReminder","Remove event reminder","Quitar recordatorio del evento","Supprimer le rappel de l'événement","ok"
"a11y.addToCalendar","Add to external calendar","Agregar al calendario externo","Ajouter au calendrier externe","ok"
"justiceService.header","Empowr — Local Advocacy Snapshot","Empowr — Local Advocacy Snapshot","Empowr — Local Advocacy Snapshot","untranslated"
"justiceService.evidenceLine","Evidence Locker: {{noteCount}} notes, {{docCount}} file(s)","Evidence Locker: {{noteCount}} notes, {{docCount}} file(s)","Evidence Locker: {{noteCount}} notes, {{docCount}} file(s)","untranslated"
"justiceService.resourcesViewed","Resources viewed this session: ~{{resourcesCount}}","Resources viewed this session: ~{{resourcesCount}}","Resources viewed this session: ~{{resourcesCount}}","untranslated"
"justiceService.signals","Signals:","Signals:","Signals:","untranslated"
"justiceService.signal1","- Increase access to plain-language decisions","- Increase access to plain-language decisions","- Increase access to plain-language decisions","untranslated"
"justiceService.signal2","- Add navigators for tight appeal windows","- Add navigators for tight appeal windows","- Add navigators for tight appeal windows","untranslated"
"justiceService.signal3","- Expand accommodations for sustained earnings","- Expand accommodations for sustained earnings","- Expand accommodations for sustained earnings","untranslated"
"justiceService.generatedAnnounce","Advocacy snapshot generated","Advocacy snapshot generated","Advocacy snapshot generated","untranslated"
"justiceService.generateError","Unable to generate a local report.","Unable to generate a local report.","Unable to generate a local report.","untranslated"
"justiceService.errorTitle","Generation failed","Generation failed","Generation failed","untranslated"
"justiceService.errorBody","Could not build snapshot.","Could not build snapshot.","Could not build snapshot.","untranslated"
"justiceService.generate","Generate","Generate","Generate","untranslated"
"justiceService.generating","Generating...","Generating...","Generating...","untranslated"
"justiceService.copy","Copy","Copy","Copy","untranslated"
"justiceService.copyHint","Copies the generated snapshot to the clipboard.","Copies the generated snapshot to the clipboard.","Copies the generated snapshot to the clipboard.","untranslated"
"justiceService.share","Share","Share","Share","untranslated"
"justiceService.shareHint","Opens the system share dialog with a snapshot text file.","Opens the system share dialog with a snapshot text file.","Opens the system share dialog with a snapshot text file.","untranslated"
"justiceService.shareUnavailable","Share unavailable","Share unavailable","Share unavailable","untranslated"
"justiceService.shareUnavailableBody","System share sheet not available.","System share sheet not available.","System share sheet not available.","untranslated"
"justiceService.shareError","Share failed","Share failed","Share failed","untranslated"
"justiceService.shareErrorBody","Could not share snapshot file.","Could not share snapshot file.","Could not share snapshot file.","untranslated"
"justiceService.reset","Reset","Reset","Reset","untranslated"
"justiceService.resetHint","Clears the generated snapshot text.","Clears the generated snapshot text.","Clears the generated snapshot text.","untranslated"
"justiceService.resetAnnounce","Snapshot cleared","Snapshot cleared","Snapshot cleared","untranslated"
"justiceService.copied","Copied","Copied","Copied","untranslated"
"justiceService.copiedBody","Snapshot copied to clipboard.","Snapshot copied to clipboard.","Snapshot copied to clipboard.","untranslated"
"justiceService.clipboardMissingTitle","Clipboard not available","Clipboard not available","Clipboard not available","untranslated"
"justiceService.clipboardMissingMsg","Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy.","untranslated"
"justiceService.screenLabel","Justice-as-a-Service screen","Justice-as-a-Service screen","Justice-as-a-Service screen","untranslated"
"justiceService.howToUse","How to use Justice-as-a-Service","How to use Justice-as-a-Service","How to use Justice-as-a-Service","untranslated"
"justiceService.toggleInfo","Toggle instructions","Toggle instructions","Toggle instructions","untranslated"
"justiceService.infoTitle","How to Use","How to Use","How to Use","untranslated"
