locale,key,en,value
es,justiceService.infoLine2,"Use Generate to build a snapshot, Copy to reuse, Share to export a file, and Reset to clear it.","Use Generate to build a snapshot, Copy to reuse, Share to export a file, and Reset to clear it."
es,justiceService.infoLine3,"Data stays local; no network calls are made.","Data stays local; no network calls are made."
es,justiceService.title,"Justice-as-a-Service","Justice-as-a-Service"
es,justiceService.snapshotRegion,"Generated snapshot","Generated snapshot"
es,justiceService.generateBtnLabel,"Generate snapshot","Generate snapshot"
es,rightsChecker.title,"Automated Rights Checker","Automated Rights Checker"
es,rightsChecker.screenLabel,"Automated Rights Checker screen","Automated Rights Checker screen"
es,rightsChecker.subtitle,"Answer a few questions to get a plain-language overview of your rights and options.","Answer a few questions to get a plain-language overview of your rights and options."
es,rightsChecker.q1,"Are you currently employed?","Are you currently employed?"
es,rightsChecker.q2,"Are you a union member?","Are you a union member?"
es,rightsChecker.q3,"Do you have a disability or health condition requiring accommodations?","Do you have a disability or health condition requiring accommodations?"
es,rightsChecker.q4,"Have you been denied benefits (e.g., workers' compensation, LTD)?","Have you been denied benefits (e.g., workers' compensation, LTD)?"
es,rightsChecker.q5,"Are you experiencing harassment or discrimination?","Are you experiencing harassment or discrimination?"
es,rightsChecker.protected,"You are protected under human rights law, including the duty to accommodate.","You are protected under human rights law, including the duty to accommodate."
es,rightsChecker.workplaceRights,"You have workplace rights: safety, accommodation, and protection from discrimination.","You have workplace rights: safety, accommodation, and protection from discrimination."
es,rightsChecker.union,"Contact your union for representation.","Contact your union for representation."
es,rightsChecker.noUnion,"If no union, consider contacting a legal clinic or advocacy group.","If no union, consider contacting a legal clinic or advocacy group."
es,rightsChecker.appeal,"You may be eligible to appeal denied benefits. Gather medical evidence and file within deadlines.","You may be eligible to appeal denied benefits. Gather medical evidence and file within deadlines."
es,rightsChecker.templates,"Use our letter templates in Resources to request reconsideration or appeal.","Use our letter templates in Resources to request reconsideration or appeal."
es,rightsChecker.harassment,"Harassment is prohibited. Document incidents and report via proper channels.","Harassment is prohibited. Document incidents and report via proper channels."
es,rightsChecker.general,"Based on your answers, you still maintain general human rights. Consider browsing Resources for guidance.","Based on your answers, you still maintain general human rights. Consider browsing Resources for guidance."
es,rightsChecker.summaryReady,"Rights summary ready","Rights summary ready"
es,rightsChecker.reset,"Reset","Reset"
es,rightsChecker.resetAnswers,"Reset answers","Reset answers"
es,rightsChecker.resetHint,"Clears all selected answers.","Clears all selected answers."
es,rightsChecker.copy,"Copy","Copy"
es,rightsChecker.copySummary,"Copy rights summary","Copy rights summary"
es,rightsChecker.copySummaryHint,"Copies the current rights summary to the clipboard.","Copies the current rights summary to the clipboard."
es,rightsChecker.export,"Export","Export"
es,rightsChecker.exportSummary,"Share or export summary file","Share or export summary file"
es,rightsChecker.exportSummaryHint,"Opens system share sheet with a text file of your rights summary.","Opens system share sheet with a text file of your rights summary."
es,rightsChecker.copied,"Copied","Copied"
es,rightsChecker.copiedBody,"Summary copied to clipboard.","Summary copied to clipboard."
es,rightsChecker.clipboardMissingTitle,"Clipboard not available","Clipboard not available"
es,rightsChecker.clipboardMissingMsg,"Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy."
es,rightsChecker.shareUnavailable,"Share unavailable","Share unavailable"
es,rightsChecker.shareUnavailableBody,"System share sheet not available.","System share sheet not available."
es,rightsChecker.shareError,"Share failed","Share failed"
es,rightsChecker.shareErrorBody,"Could not share summary file.","Could not share summary file."
es,rightsChecker.howToUse,"How to use Rights Checker","How to use Rights Checker"
es,rightsChecker.toggleInfo,"Toggle instructions","Toggle instructions"
es,rightsChecker.infoTitle,"How to Use","How to Use"
es,rightsChecker.infoLine1,"Answer each question. A plain-language summary appears when all are answered.","Answer each question. A plain-language summary appears when all are answered."
es,rightsChecker.infoLine2,"Use Copy to reuse the summary, Export to generate a text file, and Reset to clear answers.","Use Copy to reuse the summary, Export to generate a text file, and Reset to clear answers."
es,rightsChecker.infoLine3,"This tool does not give legal advice; consult official sources.","This tool does not give legal advice; consult official sources."
es,rightsChecker.choiceLabel,"{{label}} answer option","{{label}} answer option"
es,rightsChecker.yourSummary,"Your summary","Your summary"
es,rightsChecker.summaryRegion,"Rights summary","Rights summary"
es,rightsExplainer.screenLabel,"Rights Explainer screen","Rights Explainer screen"
es,rightsExplainer.howToUse,"How to use Rights Explainer","How to use Rights Explainer"
es,rightsExplainer.toggleInfo,"Toggle instructions","Toggle instructions"
es,rightsExplainer.infoTitle,"How to Use","How to Use"
es,rightsExplainer.infoLine1,"Select a language and region to view simplified rights statements.","Select a language and region to view simplified rights statements."
es,rightsExplainer.infoLine2,"Use Copy or Share to reuse the current list; Reset returns to English / Canada default.","Use Copy or Share to reuse the current list; Reset returns to English / Canada default."
es,rightsExplainer.infoLine3,"This is an educational tool, not legal advice. Reference official sources for decisions.","This is an educational tool, not legal advice. Reference official sources for decisions."
es,rightsExplainer.heading,"Multi‑Language Rights Explainer","Multi‑Language Rights Explainer"
es,rightsExplainer.subhead,"Plain‑language summaries of basic rights. Select language and region.","Plain‑language summaries of basic rights. Select language and region."
es,rightsExplainer.provincial,"Provincial Rights","Provincial Rights"
es,rightsExplainer.federal,"Canada – Federal Rights","Canada – Federal Rights"
es,rightsExplainer.international,"Global – International Rights","Global – International Rights"
es,rightsExplainer.langChanged,"Language changed","Language changed"
es,rightsExplainer.regionChanged,"Region changed","Region changed"
es,rightsExplainer.provinceChanged,"Province changed","Province changed"
es,rightsExplainer.copy,"Copy","Copy"
es,rightsExplainer.copyLabel,"Copy rights explainer","Copy rights explainer"
es,rightsExplainer.copyHint,"Copies the current rights statements.","Copies the current rights statements."
es,rightsExplainer.share,"Share","Share"
es,rightsExplainer.shareLabel,"Share rights explainer file","Share rights explainer file"
es,rightsExplainer.shareHint,"Opens system share sheet with a text file of current statements.","Opens system share sheet with a text file of current statements."
es,rightsExplainer.reset,"Reset","Reset"
es,rightsExplainer.resetLabel,"Reset explainer","Reset explainer"
es,rightsExplainer.resetHint,"Restores default language and region.","Restores default language and region."
es,rightsExplainer.resetAnnounce,"Explainer reset to defaults","Explainer reset to defaults"
es,rightsExplainer.copied,"Copied","Copied"
es,rightsExplainer.copiedBody,"Current rights explainer copied.","Current rights explainer copied."
es,rightsExplainer.clipboardMissingTitle,"Clipboard not available","Clipboard not available"
es,rightsExplainer.clipboardMissingMsg,"Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy."
es,rightsExplainer.shareUnavailable,"Share unavailable","Share unavailable"
es,rightsExplainer.shareUnavailableBody,"System share sheet not available.","System share sheet not available."
es,rightsExplainer.shareError,"Share failed","Share failed"
es,rightsExplainer.shareErrorBody,"Could not share rights explainer file.","Could not share rights explainer file."
es,rightsExplainer.provinceChip,"Province {{code}}","Province {{code}}"
es,rightsExplainer.langChip,"Language {{code}}","Language {{code}}"
es,rightsExplainer.regionChip,"Region {{code}}","Region {{code}}"
es,templates.deadlines.icsOne,"ICS","ICS"
es,common.hide,"Hide","Hide"
es,common.show,"Show","Show"
es,common.save,"Save","Save"
es,common.saveAll,"Save All","Save All"
es,common.processQueue,"Process Queue","Process Queue"
es,common.load,"Load","Load"
es,common.loadMore,"Load More","Load More"
es,common.openQueue,"Open Upload Queue","Open Upload Queue"
es,common.cloudItems,"Cloud items","Cloud items"
es,common.deleteAll,"Delete All","Delete All"
es,common.deleteSelected,"Delete Selected","Delete Selected"
es,common.delete,"Delete","Delete"
es,common.cancel,"Cancel","Cancel"
fr,wellness.tools.symptom,"Symptom & Pain Tracker (exportable report)","Symptom & Pain Tracker (exportable report)"
fr,wellness.tools.sleep,"Sleep & Energy Tracker (legal/medical summary)","Sleep & Energy Tracker (legal/medical summary)"
fr,wellness.tools.selfcare,"Accessible Self‑Care Library","Accessible Self‑Care Library"
fr,wellness.tools.work_balance,"Wellness + Work Balance AI","Wellness + Work Balance AI"
fr,wellness.tools.grief,"Grief + Identity Support Hub","Grief + Identity Support Hub"
fr,wellness.tools.adaptive_meditation,"Adaptive Meditation & Relaxation","Adaptive Meditation & Relaxation"
fr,wellness.tools.rehab_games,"Virtual Rehab Games (gentle movement)","Virtual Rehab Games (gentle movement)"
fr,wellness.tools.daily_planner,"Adaptive Daily Planner","Adaptive Daily Planner"
fr,wellness.rehab.subtitle,"Fun, accessible mini-games to encourage gentle movement and physio-style exercises. Always adapt to comfort and stop if pain increases.","Fun, accessible mini-games to encourage gentle movement and physio-style exercises. Always adapt to comfort and stop if pain increases."
fr,wellness.rehab.title,"Virtual Rehab Games","Virtual Rehab Games"
fr,wellness.achievements.subtitle,"Earn badges as you build healthy routines.","Earn badges as you build healthy routines."
fr,wellness.achievements.title,"Achievements","Achievements"
fr,resources.intro,"Here you’ll find practical tools, guides, and supports — everything from benefits applications to emergency contacts. This hub is designed to save you time and help you advocate for yourself effectively.","Here you’ll find practical tools, guides, and supports — everything from benefits applications to emergency contacts. This hub is designed to save you time and help you advocate for yourself effectively."
fr,resources.filters.all,"All","All"
fr,resources.filters.canada,"Canada","Canada"
fr,resources.filters.work_financial,"Work & Financial","Work & Financial"
fr,resources.filters.tools_downloads,"Tools & Downloads","Tools & Downloads"
fr,resources.filters.emergency_crisis,"Emergency & Crisis","Emergency & Crisis"
fr,header.favorites,"Favs","Favs"
fr,advocacy.tools.self_coach,"Self-Advocacy Coach (micro-lessons)","Self-Advocacy Coach (micro-lessons)"
fr,advocacy.tools.ai_translator,"AI Advocate Translator","AI Advocate Translator"
fr,advocacy.tools.collective,"Collective Legal Action Hub","Collective Legal Action Hub"
fr,advocacy.tools.policy_simple,"Policy Made Simple","Policy Made Simple"
fr,advocacy.tools.ai_gov,"AI Government Navigator","AI Government Navigator"
fr,advocacy.tools.ai_case,"AI Case Interpreter","AI Case Interpreter"
fr,settings.language.french,"Français","Français"
fr,settings.notifications.title,"Notifications","Notifications"
fr,settings.notifications.vibration,"Vibration","Vibration"
fr,justiceService.header,"Empowr — Local Advocacy Snapshot","Empowr — Local Advocacy Snapshot"
fr,justiceService.evidenceLine,"Evidence Locker: {{noteCount}} notes, {{docCount}} file(s)","Evidence Locker: {{noteCount}} notes, {{docCount}} file(s)"
fr,justiceService.resourcesViewed,"Resources viewed this session: ~{{resourcesCount}}","Resources viewed this session: ~{{resourcesCount}}"
fr,justiceService.signals,"Signals:","Signals:"
fr,justiceService.signal1,"- Increase access to plain-language decisions","- Increase access to plain-language decisions"
fr,justiceService.signal2,"- Add navigators for tight appeal windows","- Add navigators for tight appeal windows"
fr,justiceService.signal3,"- Expand accommodations for sustained earnings","- Expand accommodations for sustained earnings"
fr,justiceService.generatedAnnounce,"Advocacy snapshot generated","Advocacy snapshot generated"
fr,justiceService.generateError,"Unable to generate a local report.","Unable to generate a local report."
fr,justiceService.errorTitle,"Generation failed","Generation failed"
fr,justiceService.errorBody,"Could not build snapshot.","Could not build snapshot."
fr,justiceService.generate,"Generate","Generate"
fr,justiceService.generating,"Generating...","Generating..."
fr,justiceService.copy,"Copy","Copy"
fr,justiceService.copyHint,"Copies the generated snapshot to the clipboard.","Copies the generated snapshot to the clipboard."
fr,justiceService.share,"Share","Share"
fr,justiceService.shareHint,"Opens the system share dialog with a snapshot text file.","Opens the system share dialog with a snapshot text file."
fr,justiceService.shareUnavailable,"Share unavailable","Share unavailable"
fr,justiceService.shareUnavailableBody,"System share sheet not available.","System share sheet not available."
fr,justiceService.shareError,"Share failed","Share failed"
fr,justiceService.shareErrorBody,"Could not share snapshot file.","Could not share snapshot file."
fr,justiceService.reset,"Reset","Reset"
fr,justiceService.resetHint,"Clears the generated snapshot text.","Clears the generated snapshot text."
fr,justiceService.resetAnnounce,"Snapshot cleared","Snapshot cleared"
fr,justiceService.copied,"Copied","Copied"
fr,justiceService.copiedBody,"Snapshot copied to clipboard.","Snapshot copied to clipboard."
fr,justiceService.clipboardMissingTitle,"Clipboard not available","Clipboard not available"
fr,justiceService.clipboardMissingMsg,"Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy."
fr,justiceService.screenLabel,"Justice-as-a-Service screen","Justice-as-a-Service screen"
fr,justiceService.howToUse,"How to use Justice-as-a-Service","How to use Justice-as-a-Service"
fr,justiceService.toggleInfo,"Toggle instructions","Toggle instructions"
fr,justiceService.infoTitle,"How to Use","How to Use"
fr,justiceService.infoLine1,"Generate a local advocacy snapshot using only on-device cached data (notes and counts).","Generate a local advocacy snapshot using only on-device cached data (notes and counts)."
fr,justiceService.infoLine2,"Use Generate to build a snapshot, Copy to reuse, Share to export a file, and Reset to clear it.","Use Generate to build a snapshot, Copy to reuse, Share to export a file, and Reset to clear it."
fr,justiceService.infoLine3,"Data stays local; no network calls are made.","Data stays local; no network calls are made."
fr,justiceService.title,"Justice-as-a-Service","Justice-as-a-Service"
fr,justiceService.snapshotRegion,"Generated snapshot","Generated snapshot"
fr,justiceService.generateBtnLabel,"Generate snapshot","Generate snapshot"
fr,rightsChecker.title,"Automated Rights Checker","Automated Rights Checker"
fr,rightsChecker.screenLabel,"Automated Rights Checker screen","Automated Rights Checker screen"
fr,rightsChecker.subtitle,"Answer a few questions to get a plain-language overview of your rights and options.","Answer a few questions to get a plain-language overview of your rights and options."
fr,rightsChecker.q1,"Are you currently employed?","Are you currently employed?"
fr,rightsChecker.q2,"Are you a union member?","Are you a union member?"
fr,rightsChecker.q3,"Do you have a disability or health condition requiring accommodations?","Do you have a disability or health condition requiring accommodations?"
fr,rightsChecker.q4,"Have you been denied benefits (e.g., workers' compensation, LTD)?","Have you been denied benefits (e.g., workers' compensation, LTD)?"
fr,rightsChecker.q5,"Are you experiencing harassment or discrimination?","Are you experiencing harassment or discrimination?"
fr,rightsChecker.protected,"You are protected under human rights law, including the duty to accommodate.","You are protected under human rights law, including the duty to accommodate."
fr,rightsChecker.workplaceRights,"You have workplace rights: safety, accommodation, and protection from discrimination.","You have workplace rights: safety, accommodation, and protection from discrimination."
fr,rightsChecker.union,"Contact your union for representation.","Contact your union for representation."
fr,rightsChecker.noUnion,"If no union, consider contacting a legal clinic or advocacy group.","If no union, consider contacting a legal clinic or advocacy group."
fr,rightsChecker.appeal,"You may be eligible to appeal denied benefits. Gather medical evidence and file within deadlines.","You may be eligible to appeal denied benefits. Gather medical evidence and file within deadlines."
fr,rightsChecker.templates,"Use our letter templates in Resources to request reconsideration or appeal.","Use our letter templates in Resources to request reconsideration or appeal."
fr,rightsChecker.harassment,"Harassment is prohibited. Document incidents and report via proper channels.","Harassment is prohibited. Document incidents and report via proper channels."
fr,rightsChecker.general,"Based on your answers, you still maintain general human rights. Consider browsing Resources for guidance.","Based on your answers, you still maintain general human rights. Consider browsing Resources for guidance."
fr,rightsChecker.summaryReady,"Rights summary ready","Rights summary ready"
fr,rightsChecker.reset,"Reset","Reset"
fr,rightsChecker.resetAnswers,"Reset answers","Reset answers"
fr,rightsChecker.resetHint,"Clears all selected answers.","Clears all selected answers."
fr,rightsChecker.copy,"Copy","Copy"
fr,rightsChecker.copySummary,"Copy rights summary","Copy rights summary"
fr,rightsChecker.copySummaryHint,"Copies the current rights summary to the clipboard.","Copies the current rights summary to the clipboard."
fr,rightsChecker.export,"Export","Export"
fr,rightsChecker.exportSummary,"Share or export summary file","Share or export summary file"
fr,rightsChecker.exportSummaryHint,"Opens system share sheet with a text file of your rights summary.","Opens system share sheet with a text file of your rights summary."
fr,rightsChecker.copied,"Copied","Copied"
fr,rightsChecker.copiedBody,"Summary copied to clipboard.","Summary copied to clipboard."
fr,rightsChecker.clipboardMissingTitle,"Clipboard not available","Clipboard not available"
fr,rightsChecker.clipboardMissingMsg,"Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy."
fr,rightsChecker.shareUnavailable,"Share unavailable","Share unavailable"
fr,rightsChecker.shareUnavailableBody,"System share sheet not available.","System share sheet not available."
fr,rightsChecker.shareError,"Share failed","Share failed"
fr,rightsChecker.shareErrorBody,"Could not share summary file.","Could not share summary file."
fr,rightsChecker.howToUse,"How to use Rights Checker","How to use Rights Checker"
fr,rightsChecker.toggleInfo,"Toggle instructions","Toggle instructions"
fr,rightsChecker.infoTitle,"How to Use","How to Use"
fr,rightsChecker.infoLine1,"Answer each question. A plain-language summary appears when all are answered.","Answer each question. A plain-language summary appears when all are answered."
fr,rightsChecker.infoLine2,"Use Copy to reuse the summary, Export to generate a text file, and Reset to clear answers.","Use Copy to reuse the summary, Export to generate a text file, and Reset to clear answers."
fr,rightsChecker.infoLine3,"This tool does not give legal advice; consult official sources.","This tool does not give legal advice; consult official sources."
fr,rightsChecker.choiceLabel,"{{label}} answer option","{{label}} answer option"
fr,rightsChecker.yourSummary,"Your summary","Your summary"
fr,rightsChecker.summaryRegion,"Rights summary","Rights summary"
fr,rightsExplainer.screenLabel,"Rights Explainer screen","Rights Explainer screen"
fr,rightsExplainer.howToUse,"How to use Rights Explainer","How to use Rights Explainer"
fr,rightsExplainer.toggleInfo,"Toggle instructions","Toggle instructions"
fr,rightsExplainer.infoTitle,"How to Use","How to Use"
fr,rightsExplainer.infoLine1,"Select a language and region to view simplified rights statements.","Select a language and region to view simplified rights statements."
fr,rightsExplainer.infoLine2,"Use Copy or Share to reuse the current list; Reset returns to English / Canada default.","Use Copy or Share to reuse the current list; Reset returns to English / Canada default."
fr,rightsExplainer.infoLine3,"This is an educational tool, not legal advice. Reference official sources for decisions.","This is an educational tool, not legal advice. Reference official sources for decisions."
fr,rightsExplainer.heading,"Multi‑Language Rights Explainer","Multi‑Language Rights Explainer"
fr,rightsExplainer.subhead,"Plain‑language summaries of basic rights. Select language and region.","Plain‑language summaries of basic rights. Select language and region."
fr,rightsExplainer.provincial,"Provincial Rights","Provincial Rights"
fr,rightsExplainer.federal,"Canada – Federal Rights","Canada – Federal Rights"
fr,rightsExplainer.international,"Global – International Rights","Global – International Rights"
fr,rightsExplainer.langChanged,"Language changed","Language changed"
fr,rightsExplainer.regionChanged,"Region changed","Region changed"
fr,rightsExplainer.provinceChanged,"Province changed","Province changed"
fr,rightsExplainer.copy,"Copy","Copy"
fr,rightsExplainer.copyLabel,"Copy rights explainer","Copy rights explainer"
fr,rightsExplainer.copyHint,"Copies the current rights statements.","Copies the current rights statements."
fr,rightsExplainer.share,"Share","Share"
fr,rightsExplainer.shareLabel,"Share rights explainer file","Share rights explainer file"
fr,rightsExplainer.shareHint,"Opens system share sheet with a text file of current statements.","Opens system share sheet with a text file of current statements."
fr,rightsExplainer.reset,"Reset","Reset"
fr,rightsExplainer.resetLabel,"Reset explainer","Reset explainer"
fr,rightsExplainer.resetHint,"Restores default language and region.","Restores default language and region."
fr,rightsExplainer.resetAnnounce,"Explainer reset to defaults","Explainer reset to defaults"
fr,rightsExplainer.copied,"Copied","Copied"
fr,rightsExplainer.copiedBody,"Current rights explainer copied.","Current rights explainer copied."
fr,rightsExplainer.clipboardMissingTitle,"Clipboard not available","Clipboard not available"
fr,rightsExplainer.clipboardMissingMsg,"Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy."
fr,rightsExplainer.shareUnavailable,"Share unavailable","Share unavailable"
fr,rightsExplainer.shareUnavailableBody,"System share sheet not available.","System share sheet not available."
fr,rightsExplainer.shareError,"Share failed","Share failed"
fr,rightsExplainer.shareErrorBody,"Could not share rights explainer file.","Could not share rights explainer file."
fr,rightsExplainer.provinceChip,"Province {{code}}","Province {{code}}"
fr,rightsExplainer.langChip,"Language {{code}}","Language {{code}}"
fr,rightsExplainer.regionChip,"Region {{code}}","Region {{code}}"
fr,templates.evidenceLocker.notes,"Notes","Notes"
fr,templates.gallery.varContact,"Contact","Contact"
fr,templates.letters.reconsideration.date,"Date","Date"
fr,templates.letters.rtw.date,"Date","Date"
fr,templates.checklist.reset,"Reset","Reset"
fr,templates.deadlines.icsOne,"ICS","ICS"
fr,common.hide,"Hide","Hide"
fr,common.show,"Show","Show"
fr,common.save,"Save","Save"
fr,common.saveAll,"Save All","Save All"
fr,common.processQueue,"Process Queue","Process Queue"
fr,common.load,"Load","Load"
fr,common.loadMore,"Load More","Load More"
fr,common.openQueue,"Open Upload Queue","Open Upload Queue"
fr,common.cloudItems,"Cloud items","Cloud items"
fr,common.deleteAll,"Delete All","Delete All"
fr,common.deleteSelected,"Delete Selected","Delete Selected"
fr,common.delete,"Delete","Delete"
fr,common.cancel,"Cancel","Cancel"
